Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
1,7/22/2020 5:12,648666790.8,6146.705,-39.05,327.96,828813,93.44,6.4,-99.99,7.78,-99.99,9.15,-99.99,140,-9.99,170,-9.99,200,-9.99,3.31271E+21,9.9,45.184,10.739
2,7/22/2020 5:12,648666790.8,6146.369,-39.06,327.96,825924,93.114,7.13,-99.99,8.5,-99.99,9.88,-99.99,140.11,-9.99,167.06,-9.99,194.02,-9.99,3.68719E+21,9.9,45.185,10.739
3,7/22/2020 5:12,648666790.9,6146.029,-39.06,327.96,823000,92.784,7.95,-99.99,9.32,-99.99,10.69,-99.99,141.44,-9.99,165.85,-9.99,190.26,-9.99,4.07104E+21,9.9,45.187,10.739
4,7/22/2020 5:12,648666791,6145.692,-39.06,327.96,820102,92.458,8.84,-99.99,10.21,-99.99,11.59,-99.99,143.35,-9.99,165.6,-9.99,187.85,-9.99,4.46754E+21,9.9,45.188,10.739
5,7/22/2020 5:12,648666791,6145.365,-39.06,327.96,817289,92.14,9.8,-99.99,11.17,-99.99,12.54,-99.99,143.18,-9.99,163.23,-9.99,183.28,-9.99,4.95704E+21,9.9,45.19,10.739
6,7/22/2020 5:12,648666791.1,6145.022,-39.06,327.96,814338,91.808,10.9,-99.99,12.28,-99.99,13.65,-99.99,145.58,-9.99,163.9,-9.99,182.22,-9.99,5.42462E+21,9.9,45.191,10.739
7,7/22/2020 5:12,648666791.2,6144.682,-39.06,327.96,811413,91.478,12.1,-99.99,13.47,-99.99,14.84,-99.99,149.34,-9.99,166.28,-9.99,183.22,-9.99,5.86626E+21,9.9,45.193,10.739
8,7/22/2020 5:12,648666791.2,6144.348,-39.07,327.96,808539,91.154,13.36,-99.99,14.73,-99.99,16.1,-99.99,152.5,-9.99,168.17,-9.99,183.83,-9.99,6.34522E+21,9.9,45.194,10.739
9,7/22/2020 5:12,648666791.3,6144.028,-39.07,327.96,805785,90.844,14.68,-99.99,16.05,-99.99,17.43,-99.99,152.92,-9.99,167.21,-9.99,181.51,-9.99,6.95345E+21,9.9,45.196,10.739
10,7/22/2020 5:12,648666791.4,6143.699,-39.07,327.96,802954,90.524,16.17,-99.99,17.54,-99.99,18.92,-99.99,153.6,-9.99,166.64,-9.99,179.67,-9.99,7.62505E+21,9.9,45.197,10.739
11,7/22/2020 5:12,648666791.4,6143.372,-39.07,327.97,800139,90.207,17.79,-99.99,19.16,-99.99,20.53,-99.99,154.67,-9.99,166.6,-9.99,178.53,-9.99,8.33032E+21,9.9,45.198,10.739
12,7/22/2020 5:12,648666791.5,6143.042,-39.07,327.97,797299,89.887,19.57,-99.99,20.94,-99.99,22.32,-99.99,156.48,-9.99,167.46,-9.99,178.43,-9.99,9.05846E+21,9.9,45.2,10.739
