Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
360,2/9/2020 2:50,634488679.2,6144.481,25.75,186.77,809684,91.283,12.96,-99.99,14.41,-99.99,15.86,-99.99,145.74,-9.99,162.05,-9.99,178.36,-9.99,6.44081E+21,9.9,35.076,10.387
361,2/9/2020 2:50,634488679.2,6144.893,25.75,186.77,813228,91.683,11.4,-99.99,12.85,-99.99,14.3,-99.99,142.46,-9.99,160.59,-9.99,178.72,-9.99,5.79408E+21,9.9,35.075,10.387
362,2/9/2020 2:50,634488679.3,6145.297,25.75,186.77,816704,92.075,10.03,-99.99,11.48,-99.99,12.93,-99.99,141.76,-9.99,162.27,-9.99,182.77,-9.99,5.1233E+21,9.9,35.075,10.387
363,2/9/2020 2:50,634488679.4,6145.699,25.75,186.77,820162,92.464,8.82,-99.99,10.27,-99.99,11.72,-99.99,141,-9.99,164.17,-9.99,187.35,-9.99,4.53256E+21,9.9,35.074,10.387
364,2/9/2020 2:50,634488679.4,6146.112,25.75,186.77,823714,92.865,7.73,-99.99,9.18,-99.99,10.63,-99.99,139.08,-9.99,165.18,-9.99,191.29,-9.99,4.02413E+21,9.9,35.074,10.387
365,2/9/2020 2:50,634488679.5,6146.523,25.75,186.77,827248,93.263,6.77,-99.99,8.22,-99.99,9.67,-99.99,140,-9.99,170,-9.99,200,-9.99,3.50142E+21,9.9,35.073,10.387
345,2/9/2020 2:50,634488678.2,6138.667,25.76,186.77,759610,85.638,66.69,-99.99,68.14,-99.99,69.59,-99.99,173.85,-9.99,177.63,-9.99,181.42,-9.99,2.77822E+22,9.9,35.082,10.387
346,2/9/2020 2:50,634488678.2,6139.046,25.76,186.77,762877,86.006,60.4,-99.99,61.85,-99.99,63.3,-99.99,171.3,-9.99,175.41,-9.99,179.52,-9.99,2.55404E+22,9.9,35.082,10.387
347,2/9/2020 2:50,634488678.3,6139.42,25.76,186.77,766100,86.37,54.72,-99.99,56.17,-99.99,57.62,-99.99,169.42,-9.99,173.91,-9.99,178.4,-9.99,2.33917E+22,9.9,35.081,10.387
348,2/9/2020 2:50,634488678.4,6139.795,25.76,186.77,769332,86.734,49.5,-99.99,50.95,-99.99,52.4,-99.99,167.67,-9.99,172.58,-9.99,177.5,-9.99,2.13813E+22,9.9,35.081,10.387
349,2/9/2020 2:50,634488678.4,6140.176,25.76,186.77,772615,87.104,44.66,-99.99,46.11,-99.99,47.56,-99.99,165.96,-9.99,171.35,-9.99,176.74,-9.99,1.94891E+22,9.9,35.08,10.387
