Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
1,2/9/2020 2:19,634486857.7,6146.639,-8.88,6.94,828245,93.376,4.36,-99.99,5.3,-99.99,6.23,-99.99,140,-9.99,170,-9.99,200,-9.99,2.25765E+21,9.9,153.952,22.371
2,2/9/2020 2:19,634486857.7,6146.233,-8.87,6.94,824754,92.982,4.97,-99.99,5.91,-99.99,6.84,-99.99,139.65,-9.99,165.92,-9.99,192.18,-9.99,2.57876E+21,9.9,153.952,22.371
3,2/9/2020 2:19,634486857.8,6145.831,-8.87,6.94,821297,92.592,5.66,-99.99,6.6,-99.99,7.53,-99.99,138.82,-9.99,161.75,-9.99,184.68,-9.99,2.95413E+21,9.9,153.952,22.371
4,2/9/2020 2:19,634486857.9,6145.428,-8.87,6.94,817831,92.202,6.45,-99.99,7.39,-99.99,8.32,-99.99,138.49,-9.99,158.56,-9.99,178.63,-9.99,3.37531E+21,9.9,153.952,22.371
5,2/9/2020 2:19,634486857.9,6145.029,-8.87,6.94,814398,91.815,7.35,-99.99,8.29,-99.99,9.22,-99.99,137.46,-9.99,154.94,-9.99,172.43,-9.99,3.8733E+21,9.9,153.953,22.371
6,2/9/2020 2:19,634486858,6144.634,-8.87,6.94,811000,91.431,8.38,-99.99,9.31,-99.99,10.25,-99.99,134.97,-9.99,150.03,-9.99,165.1,-9.99,4.49556E+21,9.9,153.953,22.371
7,2/9/2020 2:19,634486858.1,6144.235,-8.87,6.94,807567,91.044,9.57,-99.99,10.51,-99.99,11.44,-99.99,134.27,-9.99,147.39,-9.99,160.5,-9.99,5.16402E+21,9.9,153.953,22.371
8,2/9/2020 2:19,634486858.1,6143.823,-8.87,6.94,804021,90.645,10.96,-99.99,11.9,-99.99,12.83,-99.99,138.96,-9.99,150.81,-9.99,162.66,-9.99,5.71451E+21,9.9,153.953,22.371
9,2/9/2020 2:19,634486858.2,6143.427,-8.87,6.94,800613,90.26,12.45,-99.99,13.38,-99.99,14.32,-99.99,142.24,-9.99,152.93,-9.99,163.61,-9.99,6.33759E+21,9.9,153.954,22.371
10,2/9/2020 2:19,634486858.2,6143.028,-8.87,6.94,797178,89.873,14.1,-99.99,15.04,-99.99,15.97,-99.99,145,-9.99,154.61,-9.99,164.23,-9.99,7.04465E+21,9.9,153.954,22.371
11,2/9/2020 2:19,634486858.3,6142.638,-8.87,6.94,793821,89.495,15.91,-99.99,16.85,-99.99,17.78,-99.99,146.31,-9.99,154.91,-9.99,163.51,-9.99,7.87647E+21,9.9,153.954,22.371
12,2/9/2020 2:19,634486858.4,6142.254,-8.87,6.94,790514,89.122,17.91,-99.99,18.85,-99.99,19.78,-99.99,145.88,-9.99,153.49,-9.99,161.11,-9.99,8.89252E+21,9.9,153.954,22.371
13,2/9/2020 2:19,634486858.4,6141.864,-8.87,6.94,787156,88.743,20.2,-99.99,21.13,-99.99,22.07,-99.99,146.19,-9.99,152.95,-9.99,159.72,-9.99,1.00081E+22,9.9,153.954,22.371
14,2/9/2020 2:19,634486858.5,6141.485,-8.87,6.94,783892,88.375,22.71,-99.99,23.64,-99.99,24.58,-99.99,145.81,-9.99,151.81,-9.99,157.82,-9.99,1.1279E+22,9.9,153.955,22.371
15,2/9/2020 2:19,634486858.6,6141.095,-8.87,6.94,780533,87.997,25.6,-99.99,26.54,-99.99,27.47,-99.99,146.89,-9.99,152.25,-9.99,157.62,-9.99,1.26237E+22,9.9,153.955,22.371
16,2/9/2020 2:19,634486858.6,6140.707,-8.87,6.94,777190,87.62,28.81,-99.99,29.75,-99.99,30.68,-99.99,148.9,-9.99,153.73,-9.99,158.57,-9.99,1.4015E+22,9.9,153.955,22.371
17,2/9/2020 2:19,634486858.7,6140.324,-8.87,6.94,773890,87.248,32.33,-99.99,33.26,-99.99,34.2,-99.99,150.84,-9.99,155.21,-9.99,159.57,-9.99,1.55229E+22,9.9,153.955,22.371
18,2/9/2020 2:19,634486858.8,6139.949,-8.86,6.93,770659,86.883,36.14,-99.99,37.08,-99.99,38.01,-99.99,152.24,-9.99,156.17,-9.99,160.11,-9.99,1.7195E+22,9.9,153.955,22.371
19,2/9/2020 2:19,634486858.8,6139.568,-8.86,6.93,767376,86.513,40.43,-99.99,41.36,-99.99,42.3,-99.99,154.17,-9.99,157.73,-9.99,161.3,-9.99,1.89926E+22,9.9,153.956,22.371
20,2/9/2020 2:19,634486858.9,6139.182,-8.86,6.93,764049,86.138,45.2,-99.99,46.14,-99.99,47.07,-99.99,157.22,-9.99,160.47,-9.99,163.73,-9.99,2.08249E+22,9.9,153.956,22.371
21,2/9/2020 2:19,634486859,6138.818,-8.86,6.93,760912,85.785,50.15,-99.99,51.08,-99.99,52.02,-99.99,158.97,-9.99,161.93,-9.99,164.9,-9.99,2.28475E+22,9.9,153.956,22.371
22,2/9/2020 2:19,634486859,6138.452,-8.86,6.93,757756,85.429,55.6,-99.99,56.54,-99.99,57.47,-99.99,160.35,-9.99,163.05,-9.99,165.75,-9.99,2.51157E+22,9.9,153.956,22.371
23,2/9/2020 2:19,634486859.1,6138.09,-8.86,6.93,754635,85.077,61.54,-99.99,62.47,-99.99,63.41,-99.99,161.64,-9.99,164.09,-9.99,166.55,-9.99,2.75741E+22,9.9,153.956,22.371
24,2/9/2020 2:19,634486859.2,6137.72,-8.86,6.93,751445,84.717,68.18,-99.99,69.12,-99.99,70.05,-99.99,163.66,-9.99,165.9,-9.99,168.15,-9.99,3.01739E+22,9.9,153.957,22.371
25,2/9/2020 2:19,634486859.2,6137.365,-8.86,6.93,748383,84.372,75.15,-99.99,76.08,-99.99,77.02,-99.99,165.26,-9.99,167.32,-9.99,169.38,-9.99,3.29353E+22,9.9,153.957,22.371
26,2/9/2020 2:19,634486859.3,6137.009,-8.86,6.93,745313,84.026,82.78,-99.99,83.71,-99.99,84.65,-99.99,166.83,-9.99,168.72,-9.99,170.6,-9.99,3.59368E+22,9.9,153.957,22.371
27,2/9/2020 2:19,634486859.4,6136.657,-8.86,6.93,742276,83.684,91,-99.99,91.93,-99.99,92.87,-99.99,168.42,-9.99,170.15,-9.99,171.88,-9.99,3.91342E+22,9.9,153.957,22.371
28,2/9/2020 2:19,634486859.4,6136.31,-8.86,6.93,739283,83.346,99.82,-99.99,100.75,-99.99,101.69,-99.99,169.92,-9.99,171.51,-9.99,173.11,-9.99,4.25464E+22,9.9,153.958,22.371
29,2/9/2020 2:19,634486859.5,6135.978,-8.86,6.93,736418,83.023,108.99,-99.99,109.92,-99.99,110.86,-99.99,170.82,-9.99,172.28,-9.99,173.75,-9.99,4.62122E+22,9.9,153.958,22.371
30,2/9/2020 2:19,634486859.6,6135.677,-8.86,6.93,733821,82.73,118.02,-99.99,118.96,-99.99,119.89,-99.99,170.19,-9.99,171.54,-9.99,172.89,-9.99,5.02269E+22,9.9,153.958,22.371
31,2/9/2020 2:19,634486859.6,6135.362,-8.86,6.93,731103,82.424,128.32,-99.99,129.25,-99.99,130.19,-99.99,169.54,-9.99,170.78,-9.99,172.01,-9.99,5.48183E+22,9.9,153.958,22.371
32,2/9/2020 2:19,634486859.7,6135.033,-8.86,6.93,728263,82.104,140.05,-99.99,140.98,-99.99,141.92,-99.99,169.89,-9.99,171.02,-9.99,172.15,-9.99,5.97076E+22,9.9,153.958,22.371
33,2/9/2020 2:19,634486859.8,6134.695,-8.85,6.93,725346,81.775,153.14,-99.99,154.08,-99.99,155.01,-99.99,171.29,-9.99,172.33,-9.99,173.38,-9.99,6.47581E+22,9.9,153.959,22.371
34,2/9/2020 2:19,634486859.8,6134.359,-8.85,6.93,722445,81.448,167.23,-99.99,168.16,-99.99,169.1,-99.99,173.34,-9.99,174.31,-9.99,175.28,-9.99,6.98762E+22,9.9,153.959,22.371
35,2/9/2020 2:19,634486859.9,6134.05,-8.85,6.93,719778,81.147,181.17,-99.99,182.11,-99.99,183.04,-99.99,174.83,-9.99,175.73,-9.99,176.63,-9.99,7.50592E+22,9.9,153.959,22.371
36,2/9/2020 2:19,634486860,6133.732,-8.85,6.93,717032,80.838,196.6,-99.99,197.53,-99.99,198.47,-99.99,176.5,-9.99,177.34,-9.99,178.18,-9.99,8.06776E+22,9.9,153.959,22.371
37,2/9/2020 2:19,634486860,6133.434,-8.85,6.93,714459,80.547,212.1,-99.99,213.04,-99.99,213.97,-99.99,177.78,-9.99,178.56,-9.99,179.35,-9.99,8.64132E+22,9.9,153.959,22.371
38,2/9/2020 2:19,634486860.1,6133.111,-8.85,6.93,711669,80.233,230.13,-99.99,231.06,-99.99,232,-99.99,179.75,-9.99,180.48,-9.99,181.22,-9.99,9.27258E+22,9.9,153.96,22.371
39,2/9/2020 2:19,634486860.1,6132.794,-8.85,6.93,708932,79.924,249.06,-99.99,250,-99.99,250.93,-99.99,182.1,-9.99,182.79,-9.99,183.47,-9.99,9.90615E+22,9.9,153.96,22.372
40,2/9/2020 2:19,634486860.2,6132.512,-8.85,6.93,706496,79.65,267.02,-99.99,267.95,-99.99,268.89,-99.99,183.63,-9.99,184.27,-9.99,184.92,-9.99,1.0532E+23,9.9,153.96,22.372
41,2/9/2020 2:19,634486860.3,6132.247,-8.85,6.93,704206,79.392,284.96,-99.99,285.89,-99.99,286.83,-99.99,184.37,-9.99,184.97,-9.99,185.58,-9.99,1.11946E+23,9.9,153.96,22.372
42,2/9/2020 2:19,634486860.3,6132.036,-8.85,6.93,702384,79.186,300.1,-99.99,301.03,-99.99,301.97,-99.99,183.7,-9.99,184.27,-9.99,184.85,-9.99,1.18322E+23,9.9,153.96,22.372
43,2/9/2020 2:19,634486860.4,6131.843,-8.85,6.93,700716,78.998,314.74,-99.99,315.68,-99.99,316.61,-99.99,182.04,-9.99,182.58,-9.99,183.12,-9.99,1.25231E+23,9.9,153.961,22.372
44,2/9/2020 2:19,634486860.5,6131.638,-8.85,6.93,698945,78.798,331.26,-99.99,332.19,-99.99,333.13,-99.99,180.1,-9.99,180.61,-9.99,181.12,-9.99,1.33219E+23,9.9,153.961,22.372
45,2/9/2020 2:19,634486860.5,6131.417,-8.85,6.93,697035,78.583,350.22,-99.99,351.15,-99.99,352.09,-99.99,178.46,-9.99,178.94,-9.99,179.41,-9.99,1.4214E+23,9.9,153.961,22.372
46,2/9/2020 2:19,634486860.6,6131.169,-8.85,6.93,694892,78.342,372.96,-99.99,373.9,-99.99,374.83,-99.99,177.64,-9.99,178.08,-9.99,178.53,-9.99,1.52072E+23,9.9,153.961,22.372
47,2/9/2020 2:19,634486860.7,6130.919,-8.85,6.93,692732,78.098,397.45,-99.99,398.38,-99.99,399.32,-99.99,177.56,-9.99,177.98,-9.99,178.39,-9.99,1.62125E+23,9.9,153.962,22.372
48,2/9/2020 2:19,634486860.7,6130.634,-8.84,6.93,690268,77.82,427.24,-99.99,428.17,-99.99,429.11,-99.99,178.63,-9.99,179.02,-9.99,179.41,-9.99,1.73234E+23,9.9,153.962,22.372
49,2/9/2020 2:19,634486860.8,6130.397,-8.84,6.93,688220,77.589,453.56,-99.99,454.49,-99.99,455.43,-99.99,179.57,-9.99,179.94,-9.99,180.31,-9.99,1.82943E+23,9.9,153.962,22.372
50,2/9/2020 2:19,634486860.9,6130.157,-8.84,6.93,686145,77.355,481.7,-99.99,482.64,-99.99,483.57,-99.99,180.54,-9.99,180.89,-9.99,181.24,-9.99,1.93249E+23,9.9,153.962,22.372
51,2/9/2020 2:19,634486860.9,6129.941,-8.84,6.93,684278,77.145,508.4,-99.99,509.34,-99.99,510.27,-99.99,181.26,-9.99,181.6,-9.99,181.93,-9.99,2.03145E+23,9.9,153.962,22.372
52,2/9/2020 2:19,634486861,6129.841,-8.84,6.93,683413,77.047,521.22,-99.99,522.15,-99.99,523.09,-99.99,181.52,-9.99,181.85,-9.99,182.18,-9.99,2.0797E+23,9.9,153.962,22.372
53,2/9/2020 2:19,634486861,6129.74,-8.84,6.93,682540,76.949,534.48,-99.99,535.41,-99.99,536.35,-99.99,181.84,-9.99,182.15,-9.99,182.47,-9.99,2.12894E+23,9.9,153.963,22.372
54,2/9/2020 2:19,634486861,6129.64,-8.84,6.93,681675,76.852,547.91,-99.99,548.84,-99.99,549.78,-99.99,182.1,-9.99,182.41,-9.99,182.72,-9.99,2.17925E+23,9.9,153.963,22.372
55,2/9/2020 2:19,634486861.1,6129.539,-8.84,6.93,680802,76.753,561.8,-99.99,562.73,-99.99,563.67,-99.99,182.42,-9.99,182.73,-9.99,183.03,-9.99,2.23058E+23,9.9,153.963,22.372
56,2/9/2020 2:19,634486861.1,6129.439,-8.84,6.92,679938,76.656,575.87,-99.99,576.81,-99.99,577.74,-99.99,182.7,-9.99,182.99,-9.99,183.29,-9.99,2.28302E+23,9.9,153.963,22.372
57,2/9/2020 2:19,634486861.1,6129.338,-8.84,6.92,679064,76.557,590.43,-99.99,591.36,-99.99,592.3,-99.99,183.02,-9.99,183.31,-9.99,183.6,-9.99,2.33654E+23,9.9,153.963,22.372
58,2/9/2020 2:19,634486861.2,6129.237,-8.84,6.92,678191,76.459,605.32,-99.99,606.25,-99.99,607.19,-99.99,183.36,-9.99,183.64,-9.99,183.92,-9.99,2.39114E+23,9.9,153.963,22.372
59,2/9/2020 2:19,634486861.2,6129.137,-8.84,6.92,677326,76.361,620.41,-99.99,621.34,-99.99,622.28,-99.99,183.65,-9.99,183.93,-9.99,184.21,-9.99,2.44675E+23,9.9,153.963,22.372
60,2/9/2020 2:19,634486861.2,6129.036,-8.84,6.92,676453,76.263,636,-99.99,636.94,-99.99,637.87,-99.99,183.98,-9.99,184.25,-9.99,184.52,-9.99,2.5038E+23,9.9,153.963,22.372
61,2/9/2020 2:19,634486861.3,6128.936,-8.84,6.92,675588,76.165,651.8,-99.99,652.74,-99.99,653.67,-99.99,184.23,-9.99,184.5,-9.99,184.76,-9.99,2.5625E+23,9.9,153.963,22.372
62,2/9/2020 2:19,634486861.3,6128.835,-8.84,6.92,674714,76.067,668.14,-99.99,669.07,-99.99,670.01,-99.99,184.55,-9.99,184.81,-9.99,185.07,-9.99,2.6222E+23,9.9,153.964,22.372
63,2/9/2020 2:19,634486861.3,6128.734,-8.84,6.92,673841,75.968,684.85,-99.99,685.78,-99.99,686.72,-99.99,184.91,-9.99,185.16,-9.99,185.41,-9.99,2.6826E+23,9.9,153.964,22.372
64,2/9/2020 2:19,634486861.3,6128.634,-8.84,6.92,672976,75.871,701.78,-99.99,702.71,-99.99,703.65,-99.99,185.27,-9.99,185.51,-9.99,185.76,-9.99,2.74357E+23,9.9,153.964,22.372
65,2/9/2020 2:19,634486861.4,6128.533,-8.84,6.92,672102,75.772,719.26,-99.99,720.19,-99.99,721.13,-99.99,185.72,-9.99,185.96,-9.99,186.2,-9.99,2.80507E+23,9.9,153.964,22.372
66,2/9/2020 2:19,634486861.4,6128.432,-8.84,6.92,671229,75.674,737.13,-99.99,738.07,-99.99,739,-99.99,186.17,-9.99,186.41,-9.99,186.64,-9.99,2.8678E+23,9.9,153.964,22.372
67,2/9/2020 2:19,634486861.4,6128.331,-8.84,6.92,670355,75.575,755.41,-99.99,756.34,-99.99,757.28,-99.99,186.6,-9.99,186.83,-9.99,187.06,-9.99,2.93215E+23,9.9,153.964,22.372
68,2/9/2020 2:19,634486861.5,6128.231,-8.84,6.92,669490,75.478,773.9,-99.99,774.84,-99.99,775.78,-99.99,187.04,-9.99,187.26,-9.99,187.49,-9.99,2.99688E+23,9.9,153.964,22.372
69,2/9/2020 2:19,634486861.5,6128.13,-8.84,6.92,668616,75.379,793,-99.99,793.93,-99.99,794.87,-99.99,187.61,-9.99,187.83,-9.99,188.05,-9.99,3.06152E+23,9.9,153.964,22.372
70,2/9/2020 2:19,634486861.5,6128.029,-8.84,6.92,667743,75.281,812.5,-99.99,813.43,-99.99,814.37,-99.99,188.21,-9.99,188.43,-9.99,188.64,-9.99,3.12675E+23,9.9,153.964,22.372
71,2/9/2020 2:19,634486861.6,6127.929,-8.84,6.92,666878,75.183,832.21,-99.99,833.15,-99.99,834.08,-99.99,188.78,-9.99,188.99,-9.99,189.2,-9.99,3.19303E+23,9.9,153.964,22.372
72,2/9/2020 2:19,634486861.6,6127.828,-8.84,6.92,666004,75.085,852.55,-99.99,853.49,-99.99,854.42,-99.99,189.4,-9.99,189.6,-9.99,189.81,-9.99,3.26034E+23,9.9,153.965,22.372
73,2/9/2020 2:19,634486861.6,6127.727,-8.84,6.92,665130,74.986,873.32,-99.99,874.25,-99.99,875.19,-99.99,190.03,-9.99,190.23,-9.99,190.44,-9.99,3.32863E+23,9.9,153.965,22.372
74,2/9/2020 2:19,634486861.7,6127.626,-8.84,6.92,664256,74.888,894.52,-99.99,895.45,-99.99,896.39,-99.99,190.65,-9.99,190.85,-9.99,191.05,-9.99,3.3983E+23,9.9,153.965,22.372
75,2/9/2020 2:19,634486861.7,6127.525,-8.84,6.92,663382,74.789,916.16,-99.99,917.1,-99.99,918.03,-99.99,191.25,-9.99,191.45,-9.99,191.64,-9.99,3.46957E+23,9.9,153.965,22.372
76,2/9/2020 2:19,634486861.7,6127.425,-8.83,6.92,662517,74.692,938.05,-99.99,938.98,-99.99,939.92,-99.99,191.77,-9.99,191.96,-9.99,192.15,-9.99,3.54285E+23,9.9,153.965,22.372
77,2/9/2020 2:19,634486861.8,6127.324,-8.83,6.92,661643,74.593,960.62,-99.99,961.55,-99.99,962.49,-99.99,192.3,-9.99,192.49,-9.99,192.68,-9.99,3.61811E+23,9.9,153.965,22.372
78,2/9/2020 2:19,634486861.8,6127.223,-8.83,6.92,660769,74.495,983.67,-99.99,984.6,-99.99,985.54,-99.99,192.81,-9.99,193,-9.99,193.18,-9.99,3.69507E+23,9.9,153.965,22.372
79,2/9/2020 2:19,634486861.9,6127.122,-8.83,6.92,659895,74.396,1007.21,-99.99,1008.14,-99.99,1009.08,-99.99,193.33,-9.99,193.51,-9.99,193.69,-9.99,3.77341E+23,9.9,153.965,22.372
80,2/9/2020 2:19,634486861.9,6127.021,-8.83,6.92,659021,74.298,1031.25,-99.99,1032.18,-99.99,1033.12,-99.99,193.87,-9.99,194.05,-9.99,194.22,-9.99,3.8527E+23,9.9,153.965,22.372
81,2/9/2020 2:19,634486861.9,6126.92,-8.83,6.92,658147,74.199,1055.79,-99.99,1056.73,-99.99,1057.66,-99.99,194.43,-9.99,194.6,-9.99,194.77,-9.99,3.93308E+23,9.9,153.966,22.372
82,2/9/2020 2:19,634486862,6126.819,-8.83,6.92,657273,74.1,1080.85,-99.99,1081.78,-99.99,1082.72,-99.99,195,-9.99,195.16,-9.99,195.33,-9.99,4.0147E+23,9.9,153.966,22.372
83,2/9/2020 2:19,634486862,6126.719,-8.83,6.92,656408,74.003,1106.17,-99.99,1107.1,-99.99,1108.04,-99.99,195.53,-9.99,195.7,-9.99,195.86,-9.99,4.09751E+23,9.9,153.966,22.372
84,2/9/2020 2:19,634486862,6126.618,-8.83,6.92,655534,73.904,1132.27,-99.99,1133.2,-99.99,1134.14,-99.99,196.13,-9.99,196.29,-9.99,196.45,-9.99,4.18143E+23,9.9,153.966,22.372
85,2/9/2020 2:19,634486862.1,6126.517,-8.83,6.92,654660,73.806,1158.9,-99.99,1159.84,-99.99,1160.77,-99.99,196.73,-9.99,196.89,-9.99,197.05,-9.99,4.26668E+23,9.9,153.966,22.373
86,2/9/2020 2:19,634486862.1,6126.416,-8.83,6.92,653786,73.707,1186.08,-99.99,1187.02,-99.99,1187.95,-99.99,197.34,-9.99,197.5,-9.99,197.65,-9.99,4.35318E+23,9.9,153.966,22.373
87,2/9/2020 2:19,634486862.2,6126.315,-8.83,6.92,652911,73.609,1213.81,-99.99,1214.74,-99.99,1215.68,-99.99,197.97,-9.99,198.12,-9.99,198.28,-9.99,4.44082E+23,9.9,153.966,22.373
88,2/9/2020 2:19,634486862.2,6126.214,-8.83,6.92,652037,73.51,1242.09,-99.99,1243.03,-99.99,1243.96,-99.99,198.61,-9.99,198.76,-9.99,198.9,-9.99,4.52977E+23,9.9,153.966,22.373
89,2/9/2020 2:19,634486862.2,6126.113,-8.83,6.91,651163,73.412,1270.94,-99.99,1271.88,-99.99,1272.81,-99.99,199.24,-9.99,199.39,-9.99,199.54,-9.99,4.62015E+23,9.9,153.967,22.373
90,2/9/2020 2:19,634486862.3,6126.012,-8.83,6.91,650288,73.313,1300.37,-99.99,1301.3,-99.99,1302.24,-99.99,199.93,-9.99,200.07,-9.99,200.21,-9.99,4.71096E+23,9.9,153.967,22.373
91,2/9/2020 2:19,634486862.3,6125.911,-8.83,6.91,649414,73.214,1330.37,-99.99,1331.3,-99.99,1332.24,-99.99,200.66,-9.99,200.8,-9.99,200.94,-9.99,4.80209E+23,9.9,153.967,22.373
92,2/9/2020 2:19,634486862.3,6125.81,-8.83,6.91,648540,73.116,1360.94,-99.99,1361.88,-99.99,1362.81,-99.99,201.43,-9.99,201.57,-9.99,201.71,-9.99,4.89349E+23,9.9,153.967,22.373
93,2/9/2020 2:19,634486862.4,6125.709,-8.83,6.91,647666,73.017,1392.1,-99.99,1393.03,-99.99,1393.97,-99.99,202.21,-9.99,202.35,-9.99,202.48,-9.99,4.98628E+23,9.9,153.967,22.373
94,2/9/2020 2:19,634486862.4,6125.608,-8.83,6.91,646791,72.919,1423.86,-99.99,1424.79,-99.99,1425.72,-99.99,202.86,-9.99,202.99,-9.99,203.13,-9.99,5.08375E+23,9.9,153.967,22.373
95,2/9/2020 2:19,634486862.5,6125.506,-8.83,6.91,645908,72.819,1456.56,-99.99,1457.49,-99.99,1458.43,-99.99,203.52,-9.99,203.65,-9.99,203.78,-9.99,5.18362E+23,9.9,153.967,22.373
96,2/9/2020 2:19,634486862.5,6125.405,-8.83,6.91,645034,72.721,1489.57,-99.99,1490.51,-99.99,1491.44,-99.99,204.14,-9.99,204.27,-9.99,204.4,-9.99,5.28502E+23,9.9,153.967,22.373
97,2/9/2020 2:19,634486862.6,6125.304,-8.83,6.91,644159,72.622,1523.24,-99.99,1524.17,-99.99,1525.11,-99.99,204.75,-9.99,204.87,-9.99,205,-9.99,5.38847E+23,9.9,153.968,22.373
98,2/9/2020 2:19,634486862.6,6125.203,-8.83,6.91,643284,72.523,1557.57,-99.99,1558.51,-99.99,1559.44,-99.99,205.25,-9.99,205.38,-9.99,205.5,-9.99,5.49629E+23,9.9,153.968,22.373
