Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
1,4/14/2020 10:11,640131169.5,6146.74,-68.92,157.24,829114,93.474,5.74,-99.99,6.97,-99.99,8.2,-99.99,140,-9.99,170,-9.99,200,-9.99,2.96966E+21,9.9,106.167,1.864
2,4/14/2020 10:11,640131169.5,6146.505,-68.92,157.24,827093,93.246,6.18,-99.99,7.41,-99.99,8.64,-99.99,146.15,-9.99,175.24,-9.99,204.34,-9.99,3.06211E+21,9.9,106.164,1.864
3,4/14/2020 10:11,640131169.6,6146.311,-68.93,157.24,825425,93.058,6.56,-99.99,7.79,-99.99,9.02,-99.99,146.58,-9.99,174.07,-9.99,201.56,-9.99,3.24094E+21,9.9,106.162,1.864
4,4/14/2020 10:11,640131169.7,6146.107,-68.93,157.24,823671,92.86,6.98,-99.99,8.21,-99.99,9.44,-99.99,144.98,-9.99,170.51,-9.99,196.05,-9.99,3.48906E+21,9.9,106.159,1.864
5,4/14/2020 10:11,640131169.7,6145.898,-68.93,157.23,821873,92.657,7.45,-99.99,8.68,-99.99,9.91,-99.99,144.56,-9.99,168.43,-9.99,192.29,-9.99,3.73362E+21,9.9,106.156,1.864
6,4/14/2020 10:11,640131169.8,6145.689,-68.93,157.23,820076,92.455,7.95,-99.99,9.18,-99.99,10.41,-99.99,145,-9.99,167.43,-9.99,189.86,-9.99,3.97191E+21,9.9,106.153,1.864
7,4/14/2020 10:11,640131169.9,6145.493,-68.94,157.23,818390,92.265,8.45,-99.99,9.68,-99.99,10.91,-99.99,143.23,-9.99,164.08,-9.99,184.92,-9.99,4.27446E+21,9.9,106.151,1.864
8,4/14/2020 10:11,640131169.9,6145.291,-68.94,157.23,816652,92.069,9.01,-99.99,10.24,-99.99,11.47,-99.99,141.31,-9.99,160.6,-9.99,179.89,-9.99,4.61821E+21,9.9,106.148,1.865
9,4/14/2020 10:11,640131170,6145.072,-68.94,157.23,814768,91.856,9.66,-99.99,10.89,-99.99,12.12,-99.99,142.55,-9.99,160.71,-9.99,178.87,-9.99,4.90684E+21,9.9,106.145,1.865
10,4/14/2020 10:11,640131170.1,6144.866,-68.94,157.22,812996,91.656,10.3,-99.99,11.53,-99.99,12.76,-99.99,143.85,-9.99,161.02,-9.99,178.19,-9.99,5.18761E+21,9.9,106.143,1.865
11,4/14/2020 10:11,640131170.1,6144.658,-68.95,157.22,811206,91.455,10.99,-99.99,12.22,-99.99,13.45,-99.99,145.07,-9.99,161.31,-9.99,177.54,-9.99,5.48772E+21,9.9,106.14,1.865
12,4/14/2020 10:11,640131170.2,6144.444,-68.95,157.22,809365,91.247,11.74,-99.99,12.97,-99.99,14.2,-99.99,147.46,-9.99,162.91,-9.99,178.36,-9.99,5.76607E+21,9.9,106.137,1.865
13,4/14/2020 10:11,640131170.3,6144.248,-68.95,157.22,807679,91.057,12.46,-99.99,13.69,-99.99,14.92,-99.99,148.03,-9.99,162.64,-9.99,177.26,-9.99,6.09727E+21,9.9,106.134,1.865
14,4/14/2020 10:11,640131170.3,6144.067,-68.96,157.22,806121,90.881,13.17,-99.99,14.4,-99.99,15.63,-99.99,145.57,-9.99,159.16,-9.99,172.76,-9.99,6.5536E+21,9.9,106.132,1.865
15,4/14/2020 10:11,640131170.4,6143.856,-68.96,157.21,804305,90.677,14.06,-99.99,15.29,-99.99,16.52,-99.99,145.06,-9.99,157.75,-9.99,170.44,-9.99,7.02106E+21,9.9,106.129,1.866
16,4/14/2020 10:11,640131170.4,6143.639,-68.96,157.21,802438,90.466,15.03,-99.99,16.26,-99.99,17.49,-99.99,147.18,-9.99,159.22,-9.99,171.27,-9.99,7.39741E+21,9.9,106.126,1.866
17,4/14/2020 10:11,640131170.5,6143.482,-68.96,157.21,801086,90.314,15.78,-99.99,17.01,-99.99,18.24,-99.99,144.23,-9.99,155.47,-9.99,166.72,-9.99,7.92367E+21,9.9,106.123,1.866
18,4/14/2020 10:11,640131170.6,6143.292,-68.97,157.21,799451,90.129,16.75,-99.99,17.98,-99.99,19.21,-99.99,140.98,-9.99,151.33,-9.99,161.68,-9.99,8.60736E+21,9.9,106.121,1.866
